1.2.whole	3	you	19346858	99632595
1.2.word	3	you	19346858	99632595
1.2.1	3	you	19346858	99632595
1.3.whole	3	were	553145	25245107
1.3.word	3	were	553145	25245107
1.3.1	3	were	553145	25245107
1.4.whole	3	to	316331	7751670
1.4.word	3	to	316331	7751670
1.4.1	3	to	316331	7751670
1.5.whole	3	journey	492	8148828
1.5.word	3	journey	492	8148828
1.5.1	3	journey	492	8148828
1.6.whole	3	to	17439	62419
1.6.word	3	to	17439	62419
1.6.1	3	to	17439	62419
1.7.whole	3	the	209995	829539
1.7.word	3	the	209995	829539
1.7.1	3	the	209995	829539
1.8.whole	3	North	340538	545617500
1.8.word	3	North	340538	545617500
1.8.1	3	North	340538	545617500
1.9.whole	3	of	79334	5287200
1.9.word	3	of	79334	5287200
1.9.1	3	of	79334	5287200
1.10.whole	3	England ,	8389	257472
1.10.word	3	England	36381	257472
1.10.1	3	England	36381	257472
1.10.2	3	,	903555	3505331
1.11.whole	3	you	8496	4975314
1.11.word	3	you	8496	4975314
1.11.1	3	you	8496	4975314
1.12.whole	3	would	1301469	62612255
1.12.word	3	would	1301469	62612255
1.12.1	3	would	1301469	62612255
1.13.whole	3	come	49501	6370548
1.13.word	3	come	49501	6370548
1.13.1	3	come	49501	6370548
1.14.whole	3	to	557499	2461286
1.14.word	3	to	557499	2461286
1.14.1	3	to	557499	2461286
1.15.whole	3	a	715713	16676861
1.15.word	3	a	715713	16676861
1.15.1	3	a	715713	16676861
1.16.whole	3	valley	6347	102706153
1.16.word	3	valley	6347	102706153
1.16.1	3	valley	6347	102706153
1.17.whole	3	that	5370	180942
1.17.word	3	that	5370	180942
1.17.1	3	that	5370	180942
1.18.whole	3	is	2498	40163
1.18.word	3	is	2498	40163
1.18.1	3	is	2498	40163
1.19.whole	3	surrounded	9840	54195697
1.19.word	3	surrounded	9840	54195697
1.19.1	3	surrounded	9840	54195697
1.20.whole	3	by	346319	398224
1.20.word	3	by	346319	398224
1.20.1	3	by	346319	398224
1.21.whole	3	moors	58	3050337
1.21.word	3	moors	58	3050337
1.21.1	3	moors	58	3050337
1.22.whole	3	as	0	137
1.22.word	3	as	0	137
1.22.1	3	as	0	137
1.23.whole	3	high	0	645
1.23.word	3	high	0	645
1.23.1	3	high	0	645
1.24.whole	3	as	1056981	1581182
1.24.word	3	as	1056981	1581182
1.24.1	3	as	1056981	1581182
1.25.whole	3	mountains .	208	1193151
1.25.word	3	mountains	806	1193151
1.25.1	3	mountains	806	1193151
1.25.2	3	.	1775	17257
1.27.whole	3	is	71197196	232678944
1.27.word	3	is	71197196	232678944
1.27.1	3	is	71197196	232678944
1.28.whole	3	in	1074644	83649567
1.28.word	3	in	1074644	83649567
1.28.1	3	in	1074644	83649567
1.29.whole	3	this	618270	21937656
1.29.word	3	this	618270	21937656
1.29.1	3	this	618270	21937656
1.30.whole	3	valley	23847	65332260
1.30.word	3	valley	23847	65332260
1.30.1	3	valley	23847	65332260
1.31.whole	3	where	441	80493
1.31.word	3	where	441	80493
