1.3.whole	4	were	410142	19346858
1.3.word	4	were	410142	19346858
1.3.1	4	were	410142	19346858
1.4.whole	4	to	125578	553145
1.4.word	4	to	125578	553145
1.4.1	4	to	125578	553145
1.5.whole	4	journey	34	316331
1.5.word	4	journey	34	316331
1.5.1	4	journey	34	316331
1.6.whole	4	to	155	492
1.6.word	4	to	155	492
1.6.1	4	to	155	492
1.7.whole	4	the	5266	17439
1.7.word	4	the	5266	17439
1.7.1	4	the	5266	17439
1.8.whole	4	North	1727	209995
1.8.word	4	North	1727	209995
1.8.1	4	North	1727	209995
1.9.whole	4	of	9743	340538
1.9.word	4	of	9743	340538
1.9.1	4	of	9743	340538
1.10.whole	4	England ,	7552	79334
1.10.word	4	England	27942	79334
1.10.1	4	England	27942	79334
1.10.2	4	,	8389	36381
1.11.whole	4	you	1210	903555
1.11.word	4	you	1210	903555
1.11.1	4	you	1210	903555
1.12.whole	4	would	567	8496
1.12.word	4	would	567	8496
1.12.1	4	would	567	8496
1.13.whole	4	come	3518	1301469
1.13.word	4	come	3518	1301469
1.13.1	4	come	3518	1301469
1.14.whole	4	to	9765	49501
1.14.word	4	to	9765	49501
1.14.1	4	to	9765	49501
1.15.whole	4	a	22959	557499
1.15.word	4	a	22959	557499
1.15.1	4	a	22959	557499
1.16.whole	4	valley	102	715713
1.16.word	4	valley	102	715713
1.16.1	4	valley	102	715713
1.17.whole	4	that	229	6347
1.17.word	4	that	229	6347
1.17.1	4	that	229	6347
1.18.whole	4	is	611	5370
1.18.word	4	is	611	5370
1.18.1	4	is	611	5370
1.19.whole	4	surrounded	62	2498
1.19.word	4	surrounded	62	2498
1.19.1	4	surrounded	62	2498
1.20.whole	4	by	8962	9840
1.20.word	4	by	8962	9840
1.20.1	4	by	8962	9840
1.21.whole	4	moors	0	346319
1.21.word	4	moors	0	346319
1.21.1	4	moors	0	346319
1.22.whole	4	as	0	58
1.22.word	4	as	0	58
1.22.1	4	as	0	58
1.23.whole	4	high	0	0
1.23.word	4	high	0	0
1.23.1	4	high	0	0
1.24.whole	4	as	0	0
1.24.word	4	as	0	0
1.24.1	4	as	0	0
1.25.whole	4	mountains .	174	1056981
1.25.word	4	mountains	571	1056981
1.25.1	4	mountains	571	1056981
1.25.2	4	.	208	806
1.28.whole	4	in	935000	71197196
1.28.word	4	in	935000	71197196
1.28.1	4	in	935000	71197196
1.29.whole	4	this	310174	1074644
1.29.word	4	this	310174	1074644
1.29.1	4	this	310174	1074644
1.30.whole	4	valley	203	618270
1.30.word	4	valley	203	618270
1.30.1	4	valley	203	618270
1.31.whole	4	where	184	23847
1.31.word	4	where	184	23847
1.31.1	4	where	184	23847
1.32.whole	4	you	0	441
1.32.word	4	you	0	441
1.32.1	4	you	0	441
1.33.whole	4	would	0	526
1.33.word	4	would	0	526
1.33.1	4	would	0	526
1.34.whole	4	find	1760	56495
1.34.word	4	find	1760	56495
1.34.1	4	find	1760	56495
1.35.whole	4	the	7325	83275
1.35.word	4	the	7325	83275
1.35.1	4	the	7325	83275
1.36.whole	4	city	121	108659
1.36.word	4	city	121	108659
1.36.1	4	city	121	108659
1.37.whole	4	of	621	5100
1.37.word	4	of	621	5100
1.37.1	4	of	621	5100
1.38.whole	4	Bradford ,	78	1765001
1.38.word	4	Bradford	290	1765001
1.38.1	4	Bradford	290	1765001
1.38.2	4	,	167	550
1.39.whole	4	where	157	12450
1.39.word	4	where	157	12450
1.39.1	4	where	157	12450
1.40.whole	4	once	0	1126
1.40.word	4	once	0	1126
1.40.1	4	once	0	1126
1.41.whole	4	a	1442	23683
1.41.word	4	a	1442	23683
1.41.1	4	a	1442	23683
1.42.whole	4	thousand	28	4356
1.42.word	4	thousand	28	4356
1.42.1	4	thousand	28	4356
1.43.whole	4	spinning	0	391
1.43.word	4	spinning	0	391
1.43.1	4	spinning	0	391
1.44.whole	4	jennies	0	38
1.44.word	4	jennies	0	38
1.44.1	4	jennies	0	38
1.45.whole	4	that	0	0
1.45.word	4	that	0	0
1.45.1	4	that	0	0
1.46.whole	4	hummed	0	24
1.46.word	4	hummed	0	24
1.46.1	4	hummed	0	24
1.47.whole	4	and	0	0
1.47.word	4	and	0	0
1.47.1	4	and	0	0
1.48.whole	4	clattered	0	426
1.48.word	4	clattered	0	426
1.48.1	4	clattered	0	426
1.49.whole	4	spun	0	72
1.49.word	4	spun	0	72
1.49.1	4	spun	0	72
1.50.whole	4	wool	0	0
1.50.word	4	wool	0	0
1.50.1	4	wool	0	0
1.51.whole	4	into	0	0
1.51.word	4	into	0	0
1.51.1	4	into	0	0
1.52.whole	4	money	0	181
1.52.word	4	money	0	181
1.52.1	4	money	0	181
1.53.whole	4	for	0	0
1.53.word	4	for	0	0
1.53.1	4	for	0	0
1.54.whole	4	the	260	761
1.54.word	4	the	260	761
1.54.1	4	the	260	761
1.55.1	4	long	557	327522
1.55.2	4	-	89007	330707
1.55.3	4	bearded	569	2014018
1.56.whole	4	mill	0	3517
1.56.word	4	mill	0	3517
1.56.1	4	mill	0	3517
1.57.whole	4	owners .	0	0
1.57.word	4	owners	0	0
1.57.1	4	owners	0	0
1.57.2	4	.	0	0
1.60.whole	4	mill	0	67284
1.60.word	4	mill	0	67284
1.60.1	4	mill	0	67284
1.61.whole	4	owners	0	0
1.61.word	4	owners	0	0
1.61.1	4	owners	0	0
1.62.whole	4	were	0	52
1.62.word	4	were	0	52
1.62.1	4	were	0	52
1.63.whole	4	generally	0	1342
1.63.word	4	generally	0	1342
1.63.1	4	generally	0	1342
1.64.whole	4	busy	0	335
1.64.word	4	busy	0	335
1.64.1	4	busy	0	335
1.65.whole	4	as	0	116
1.65.word	4	as	0	116
1.65.1	4	as	0	116
1.66.whole	4	beavers	0	0
1.66.word	4	beavers	0	0
1.66.1	4	beavers	0	0
1.67.whole	4	and	0	316
1.67.word	4	and	0	316
1.67.1	4	and	0	316
1.68.whole	4	quite	0	259
1.68.word	4	quite	0	259
1.68.1	4	quite	0	259
1.69.whole	4	pleased	0	0
1.69.word	4	pleased	0	0
1.69.1	4	pleased	0	0
1.70.whole	4	with	310	683
1.70.word	4	with	310	683
1.70.1	4	with	310	683
1.71.whole	4	themselves	431	21926
1.71.word	4	themselves	431	21926
1.71.1	4	themselves	431	21926
1.72.whole	4	for	533	8706
1.72.word	4	for	533	8706
1.72.1	4	for	533	8706
1.73.whole	4	being	196	2481
1.73.word	4	being	196	2481
1.73.1	4	being	196	2481
1.74.whole	4	so	340	4116
1.74.word	4	so	340	4116
1.74.1	4	so	340	4116
1.75.whole	4	successful	103	124241
1.75.word	4	successful	103	124241
1.75.1	4	successful	103	124241
1.76.whole	4	and	51	896
1.76.word	4	and	51	896
1.76.1	4	and	51	896
1.77.whole	4	well	74	4935
1.77.word	4	well	74	4935
1.77.1	4	well	74	4935
1.78.whole	4	off	28	5035
1.78.word	4	off	28	5035
1.78.1	4	off	28	5035
1.79.whole	4	was	0	2672
1.79.word	4	was	0	2672
1.79.1	4	was	0	2672
1.80.whole	4	known	0	186
1.80.word	4	known	0	186
1.80.1	4	known	0	186
1.81.whole	4	to	0	33
1.81.word	4	to	0	33
1.81.1	4	to	0	33
1.82.whole	4	the	50032	360044
1.82.word	4	the	50032	360044
1.82.1	4	the	50032	360044
1.83.whole	4	residents	506	678406
1.83.word	4	residents	506	678406
1.83.1	4	residents	506	678406
1.84.whole	4	of	18871	39415
1.84.word	4	of	18871	39415
1.84.1	4	of	18871	39415
1.85.whole	4	Bradford ,	0	228648
1.85.word	4	Bradford	0	228648
1.85.1	4	Bradford	0	228648
1.85.2	4	,	0	36
1.86.whole	4	and	596	12450
1.86.word	4	and	596	12450
1.86.1	4	and	596	12450
1.87.whole	4	if	18	8213
1.87.word	4	if	18	8213
1.87.1	4	if	18	8213
1.88.whole	4	you	574540	4684558
1.88.word	4	you	574540	4684558
1.88.1	4	you	574540	4684558
1.89.whole	4	were	21994	921507
1.89.word	4	were	21994	921507
